id;species;category;light;difficulty;humidity;temperature;toxicity;cycle;waterSummer;waterWinter;fertilizeFreq;repotFreq;sowingMonths;plantingMonths;harvestMonths;repottingMonths;pruningMonths;winteringMonths;soilInfo;pruningInfo
38;Schefflera;indoor;brightInd;easy;medium;frostTender;low;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Terreau ordinaire.;Croissance rapide, peut devenir grand.
39;Hedera;indoor;partial;easy;medium;hardy;low;perennial;5;10;30;24;;;;3,4,9,10;;12,1;Terreau universel.;Attention aux acariens en intérieur chaud.
40;Begonia Maculata;indoor;brightInd;medium;medium;frostTender;low;perennial;5;10;15;12;;;;3,4;;11,12,1,2;Terreau plantes fleuries.;Feuillage spectaculaire à pois.
41;Croton;indoor;brightInd;hard;high;frostTender;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau riche.;Perd ses couleurs s'il manque de lumière.
42;Fittonia;indoor;partial;medium;high;frostTender;none;perennial;3;5;30;12;;;;3,4;;11,12,1,2;Terreau maintenu humide.;S'affaisse dramatiquement s'il a soif.
43;Pachira;indoor;brightInd;easy;medium;frostTender;none;perennial;10;20;30;24;;;;3,4;;11,12,1,2;Terreau drainant.;Souvent vendu avec le tronc tressé.
44;Strelitzia;indoor;direct;medium;medium;semiHardy;low;perennial;5;10;15;24;;;;3,4;;11,12,1,2;Terreau riche.;Demande beaucoup de lumière pour fleurir.
45;Bananier;indoor;direct;medium;high;frostTender;none;perennial;3;7;15;12;;;;3,4,5;;11,12,1,2;Terreau très riche et drainant.;Boit énormément d'eau en été.
46;Cycas Revoluta;indoor;brightInd;medium;medium;semiHardy;high;perennial;10;30;60;36;;;;3,4;;11,12,1,2;Terreau drainant.;Toxique pour les animaux domestiques.
47;Poinsettia;indoor;brightInd;hard;medium;frostTender;low;perennial;5;7;30;12;;;;4,5;;12,1,2;Terreau léger.;Difficile à faire refleurir l'année suivante.
48;Kalanchoe;indoor;brightInd;easy;low;frostTender;low;perennial;10;20;30;24;;;;3,4;;11,12,1,2;Terreau pour cactus.;Couper les hampes florales fanées.
49;Cyclamen;indoor;brightInd;medium;medium;frostTender;low;perennial;3;7;15;12;;;;8,9;;5,6,7;Terreau drainant.;Aime la fraîcheur (15-18°C), dort en été.
50;Tillandsia;indoor;brightInd;medium;high;frostTender;none;perennial;3;7;30;0;;;;;;11,12,1,2;Sans terre (épiphyte).;Brumiser ou baigner la plante.
51;Philodendron Scandens;indoor;partial;easy;medium;frostTender;low;perennial;7;14;30;24;;;;3,4,5;;11,12,1,2;Terreau universel.;Pincer pour éviter qu'il ne se dégarnisse.
52;Philodendron Birkin;indoor;brightInd;medium;medium;frostTender;low;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Terreau drainant.;Les stries blanches apparaissent avec la lumière.
53;Rhaphidophora Tetrasperma;indoor;brightInd;easy;medium;frostTender;low;perennial;5;10;30;12;;;;3,4;;11,12,1,2;Terreau aéré (avec perlite).;Grimpeur rapide, prévoir un tuteur.
54;Hoya Kerrii;indoor;brightInd;easy;low;frostTender;none;perennial;15;30;60;36;;;;4,5;;11,12,1,2;Terreau pour cactus.;Souvent vendue en feuille unique racinée.
55;Hoya Carnosa;indoor;brightInd;easy;medium;frostTender;none;perennial;10;20;45;24;;;;3,4;;11,12,1,2;Terreau léger et drainant.;Ne pas couper les pédoncules (les fleurs reviennent dessus).
56;Echeveria;indoor;direct;easy;low;semiHardy;none;perennial;10;30;60;24;;;;3,4;;11,12,1,2;Terreau pour cactus.;L'arrosage sur les feuilles les fait pourrir.
57;Euphorbia Ingens;indoor;direct;easy;low;frostTender;high;perennial;15;45;90;36;;;;4,5;;11,12,1,2;Drainant (Sable/Terreau).;Latex blanc très toxique, attention aux yeux.
58;Opuntia;indoor;direct;easy;low;semiHardy;low;perennial;15;45;60;36;;;;3,4;;11,12,1,2;Terreau pour cactus.;Attention aux glochides (minuscules épines).
59;Rhipsalis;indoor;partial;easy;medium;frostTender;none;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Terreau léger.;Cactus de forêt, n'aime pas le soleil direct.
60;Lithops;indoor;direct;hard;low;frostTender;none;perennial;20;0;0;36;;;;4,5;;11,12,1,2;Minéral (sable/gravier).;Ne jamais arroser en hiver (période de mue).
61;Dionaea Muscipula;indoor;direct;hard;high;hardy;none;perennial;2;7;0;12;;;;3;;11,12,1,2;Tourbe blonde uniquement.;Eau déminéralisée ou de pluie impérative.
62;Nepenthes;indoor;brightInd;hard;high;frostTender;none;perennial;3;5;0;24;;;;3,4;;11,12,1,2;Sphaigne et écorces.;Besoin d'humidité très élevée pour former des urnes.
63;Saintpaulia;indoor;brightInd;medium;medium;frostTender;none;perennial;5;10;30;12;;;;3,4;;11,12,1,2;Terreau léger.;Arroser par la soucoupe, ne pas mouiller les feuilles.
64;Guzmania;indoor;partial;easy;high;frostTender;none;perennial;5;10;30;0;;;;;;11,12,1,2;Terreau orchidée.;Arroser dans le cœur de la rosette (l'entonnoir).
65;Vriesea;indoor;brightInd;easy;medium;frostTender;none;perennial;5;10;30;0;;;;;;11,12,1,2;Léger et acide.;Meurt après la floraison mais fait des rejets.
66;Aechmea Fasciata;indoor;brightInd;easy;medium;frostTender;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau aéré.;La fleur rose dure plusieurs mois.
67;Clivia Miniata;indoor;low;easy;low;frostTender;high;perennial;7;20;30;36;;;;3,4;;11,12,1;Terreau ordinaire.;Besoin d'une période de froid sec en hiver pour fleurir.
68;Medinilla Magnifica;indoor;brightInd;hard;high;frostTender;none;perennial;5;10;15;24;;;;3,4;;11,12,1,2;Terreau orchidée.;Fleurs retombantes spectaculaires.
69;Gardenia;indoor;brightInd;hard;high;frostTender;low;perennial;3;7;15;24;;;;3,4;;11,12,1,2;Terre de bruyère (acide).;Craint le calcaire et les changements de température.
70;Stephanotis;indoor;brightInd;medium;medium;frostTender;none;perennial;4;10;15;24;;;;3,4;;11,12,1,2;Terreau riche.;Parfum très puissant.
71;Dendrobium;indoor;brightInd;medium;high;frostTender;none;perennial;5;10;15;24;;;;4,5;;11,12,1,2;Écorces de pin.;A besoin d'écarts de température jour/nuit.
72;Cymbidium;indoor;brightInd;easy;medium;semiHardy;none;perennial;4;10;15;36;;;;5,6;;11,12,1,2;Substrat orchidée terrestre.;Aime passer l'été dehors à l'ombre.
73;Citronnier;indoor;direct;medium;medium;semiHardy;low;perennial;2;10;15;24;;;;3,4;;11,12,1,2;Terreau spécial agrumes.;Ne supporte pas la chaleur sèche des radiateurs.
74;Coffea Arabica;indoor;partial;medium;medium;frostTender;low;perennial;4;7;30;24;;;;3,4;;11,12,1,2;Terreau riche et acide.;Feuillage brillant, brumiser régulièrement.
75;Adiantum;indoor;low;hard;high;frostTender;none;perennial;2;4;30;12;;;;3,4;;11,12,1,2;Terreau maintenu humide.;Sèche irrémédiablement si on oublie un arrosage.
76;Platycerium;indoor;partial;medium;high;frostTender;none;perennial;5;10;45;36;;;;4,5;;11,12,1,2;Mélange pour orchidées.;Arroser par bassinage de la souche.
77;Asparagus;indoor;partial;easy;medium;semiHardy;low;perennial;3;7;30;24;;;;3,4;;11,12,1,2;Terreau ordinaire.;Pas une vraie fougère, plus résistant.
78;Aeschynanthus;indoor;brightInd;medium;high;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau léger.;Fleurs rouges tubulaires.
79;Oxalis Triangularis;indoor;brightInd;easy;medium;semiHardy;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau universel.;Les feuilles se ferment la nuit (nyctinastie).
80;Mimosa Pudica;indoor;brightInd;medium;high;frostTender;low;annual;3;7;30;12;;;;3,4;;11,12,1,2;Terreau maintenu humide.;Ses feuilles se replient instantanément au toucher.
81;Caladium;indoor;partial;hard;high;frostTender;high;perennial;3;0;15;12;;;;3,4;;10,11,12,1,2;Terreau riche et acide.;Perd toutes ses feuilles en hiver (bulbe en dormance).
82;Stromanthe Triostar;indoor;partial;medium;high;frostTender;none;perennial;4;7;30;24;;;;3,4;;11,12,1,2;Terreau léger.;Feuillage rose, vert et blanc spectaculaire.
83;Hypoestes;indoor;brightInd;easy;medium;frostTender;none;perennial;3;6;30;12;;;;3,4;;11,12,1,2;Terreau universel.;Pincer souvent pour garder une forme boule.
84;Araucaria;indoor;brightInd;medium;medium;frostTender;low;perennial;7;14;30;36;;;;3,4;;11,12,1,2;Terre de bruyère.;Aiguilles douces, n'aime pas être déplacé.
85;Fatsia Japonica;indoor;partial;easy;medium;hardy;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau ordinaire.;Aime les pièces fraîches (entrées, vérandas).
86;Peperomia Argyreia;indoor;brightInd;medium;medium;frostTender;none;perennial;7;14;45;24;;;;3,4;;11,12,1,2;Terreau léger.;Feuilles ressemblant à la peau d'une pastèque.
87;Soleirolia;indoor;partial;medium;high;semiHardy;none;perennial;2;5;30;12;;;;3,4;;11,12,1,2;Terreau toujours frais.;Couvre-sol dense, idéal en terrarium.
88;Muehlenbeckia;indoor;brightInd;easy;medium;semiHardy;none;perennial;3;7;30;24;;;;3,4;;11,12,1,2;Terreau ordinaire.;Très graphique et envahissante si on la laisse faire.
89;Papyrus;indoor;brightInd;easy;high;frostTender;none;perennial;1;3;30;12;;;;3,4;;11,12,1,2;Terreau aquatique ou très humide.;Laisser la base du pot tremper dans l'eau en permanence.
90;Cissus;indoor;partial;easy;medium;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau classique.;Alternative robuste au lierre.
91;Polyscias;indoor;partial;medium;high;frostTender;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau drainant.;Ressemble à un arbre miniature.
92;Radermachera;indoor;brightInd;medium;medium;frostTender;none;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Terreau riche.;Feuillage très découpé et brillant.
93;Gynura;indoor;brightInd;easy;medium;frostTender;none;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Terreau universel.;Feuilles recouvertes d'un duvet violet.
94;Solanum Pseudocapsicum;indoor;brightInd;medium;medium;frostTender;high;perennial;3;7;15;12;;;;3,4;;11,12,1,2;Terreau riche.;Baies oranges décoratives mais toxiques.
95;Nertera;indoor;brightInd;hard;medium;semiHardy;low;annual;4;8;0;0;;;;;;11,12,1,2;Sableux.;Souvent jetée après la disparition des baies oranges.
96;Basilic;vegetable;direct;medium;medium;frostTender;none;annual;2;5;15;0;;;;;;;Terreau riche.;En pot sur rebord de fenêtre. Ne pas mouiller les feuilles.
97;Cordyline;indoor;brightInd;medium;high;frostTender;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau riche.;Souvent confondue avec le Dracaena, aime plus l'humidité.
98;Bonsaï Ulmus;indoor;brightInd;medium;medium;semiHardy;none;perennial;3;7;30;24;;;;3,4;;11,12,1,2;Substrat bonsaï (Akadama).;Le bonsaï le plus facile pour débuter.
99;Aspidistra;indoor;low;easy;low;semiHardy;none;perennial;15;30;60;48;;;;3,4;;11,12,1,2;Terreau ordinaire.;Quasi indestructible, tolère l'ombre noire.
100;Lucky Bamboo;indoor;partial;easy;medium;frostTender;low;perennial;7;10;60;0;;;;;;11,12,1,2;Eau (hydroculture) ou terreau.;Changer l'eau tous les 10 jours s'il est en vase.
101;Scindapsus Pictus;indoor;partial;easy;medium;frostTender;low;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Terreau drainant.;Feuilles veloutées avec des taches argentées.
102;Philodendron Pink Princess;indoor;brightInd;medium;medium;frostTender;low;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Terreau aéré.;Besoin de bonne lumière pour garder ses taches roses.
103;Calathea Orbifolia;indoor;partial;hard;high;frostTender;none;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Terreau léger, non calcaire.;Immenses feuilles rondes très décoratives.
104;Begonia Rex;indoor;brightInd;medium;high;frostTender;high;perennial;5;10;30;12;;;;3,4;;11,12,1,2;Terreau léger.;Craint l'oïdium (poudre blanche) si l'air ne circule pas.
105;Hibiscus;indoor;direct;medium;high;frostTender;none;perennial;3;10;15;12;;;;3,4;;11,12,1,2;Terreau riche.;Fleurs éphémères (24h) mais se renouvellent tout l'été.
106;Jasmin;indoor;brightInd;medium;medium;semiHardy;none;perennial;3;7;30;24;;;;4,5;;11,12,1,2;Terreau ordinaire.;Plante grimpante au parfum entêtant.
107;Azalée;indoor;partial;hard;high;semiHardy;high;perennial;3;5;30;24;;;;4,5;;11,12,1,2;Terre de bruyère pure.;Ne supporte pas le calcaire ni la chaleur (>20°C).
108;Ciboulette;vegetable;brightInd;easy;medium;hardy;low;perennial;3;7;30;12;;;;3,4;5, 8;11,12,1,2;Terreau riche.;Couper régulièrement pour stimuler la repousse.
109;Persil;vegetable;partial;medium;medium;hardy;low;biennial;3;7;30;0;;;;;;;Terreau riche.;Difficile à garder en pot du commerce, mieux vaut semer.
110;Romarin;vegetable;direct;medium;low;hardy;none;perennial;7;15;60;24;;;;3,4;4, 9;11,12,1,2;Drainant et calcaire.;Déteste l'humidité stagnante, meurt vite en intérieur sombre.
111;Thym;vegetable;direct;easy;low;hardy;none;perennial;7;20;90;24;;;;3,4;4, 9;11,12,1,2;Sec et pauvre.;Parfait pour un balcon plein sud.
112;Piment;vegetable;direct;medium;medium;frostTender;low;annual;2;7;15;0;;;;;3, 7;;Terreau potager.;Besoin de beaucoup de lumière pour faire des fruits.
113;Sedum Morganianum;indoor;direct;medium;low;semiHardy;none;perennial;10;30;60;24;;;;3,4;;11,12,1,2;Terreau pour cactus.;Les feuilles tombent au moindre choc, manipuler avec précaution.
114;Senecio Peregrinus;indoor;brightInd;medium;low;frostTender;low;perennial;10;30;60;24;;;;3,4;;11,12,1,2;Drainant.;Feuilles étonnantes en forme de dauphin sautant.
115;Echinocactus;indoor;direct;easy;low;semiHardy;none;perennial;20;0;60;48;;;;4,5;;11,12,1,2;Minéral.;Grosse boule épineuse, croissance très lente.
116;Gymnocalycium;indoor;brightInd;medium;low;frostTender;none;perennial;10;30;60;24;;;;4,5;;11,12,1,2;Terreau pour cactus.;C'est un cactus greffé coloré qui vit sur un porte-greffe vert.
117;Ficus Pumila;indoor;partial;medium;high;semiHardy;low;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Terreau maintenu humide.;Grimpante vigoureuse, idéale pour murs végétaux.
118;Coleus;indoor;brightInd;easy;medium;frostTender;low;perennial;3;7;15;12;;;;3,4;;11,12,1,2;Terreau universel.;Couper les fleurs bleues pour favoriser le feuillage coloré.
119;Pelargonium;outdoor;direct;easy;medium;frostTender;low;perennial;2;15;15;12;;;;3,4;3,9,10;11,12,1,2;Terreau géranium.;La star des balcons. À rentrer hors gel l'hiver.
120;Campanule;indoor;brightInd;medium;medium;hardy;none;perennial;3;7;15;12;;;;3,4;;11,12,1,2;Terreau drainant.;Supprimer les fleurs fanées prolonge la floraison.
121;Primevère;indoor;brightInd;medium;medium;hardy;low;perennial;3;7;15;12;;;;9,1;;;Terreau frais.;Plante de saison fraîche, n'aime pas les intérieurs surchauffés.
122;Gloxinia;indoor;brightInd;hard;high;frostTender;none;perennial;3;10;15;12;;;;2,3;;11,12,1;Terreau léger.;Grandes fleurs clochettes veloutées.
123;Nematanthus;indoor;brightInd;medium;medium;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau drainant.;Fleurs oranges ressemblant à un poisson.
124;Saxifraga Stolonifera;indoor;partial;easy;medium;semiHardy;none;perennial;4;10;30;24;;;;3,4;;11,12,1,2;Terreau ordinaire.;Produit des stolons (bébés plantes) qui pendent comme des fraisiers.
125;Pilea Cadierei;indoor;partial;medium;medium;frostTender;none;perennial;4;8;30;12;;;;3,4;;11,12,1,2;Terreau léger.;Feuillage vert foncé avec des taches argentées métalliques.
126;Plectranthus;indoor;partial;easy;medium;frostTender;none;perennial;4;10;30;24;;;;3,4;;11,12,1,2;Terreau universel.;Croissance très rapide en suspension.
127;Callisia Repens;indoor;brightInd;easy;medium;frostTender;low;perennial;5;10;30;12;;;;3,4;;11,12,1,2;Terreau drainant.;Adorée des tortues et reptiles comme nourriture.
128;Tradescantia Nanouk;indoor;brightInd;easy;medium;frostTender;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau universel.;Variété rose et violette très compacte.
129;Drosera;indoor;direct;hard;high;hardy;none;perennial;1;7;0;24;;;;3;;11,12,1,2;Tourbe blonde.;Plante carnivore collante, eau de pluie uniquement.
130;Sarracenia;indoor;direct;medium;high;hardy;none;perennial;1;7;0;24;;;;3;;11,12,1,2;Tourbe blonde.;Pieds dans l'eau en été, repos au frais en hiver.
131;Phlebodium Aureum;indoor;partial;medium;high;frostTender;none;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Terreau riche.;Fougère au feuillage bleuté et rhizomes poilus.
132;Davallia;indoor;partial;medium;medium;frostTender;none;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Terreau léger.;Rhizomes poilus qui rampent hors du pot, ne pas les enterrer.
133;Caryota;indoor;brightInd;medium;high;frostTender;none;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Terreau profond.;Feuilles originales en forme de nageoire.
134;Livistona Rotundifolia;indoor;brightInd;medium;high;frostTender;none;perennial;4;8;30;24;;;;3,4;;11,12,1,2;Terreau palmier.;Attention aux épines sur les pétioles.
135;Washingtonia;indoor;direct;easy;medium;semiHardy;none;perennial;3;15;30;24;;;;3,4;;11,12,1,2;Drainant.;Croissance rapide, devient vite trop grand pour le salon.
136;Ceropegia Sandersonii;indoor;brightInd;medium;low;frostTender;none;perennial;10;20;60;24;;;;4,5;;11,12,1,2;Terreau pour cactus.;Fleurs spectaculaires en forme de parachute vert.
137;Curcuma;indoor;brightInd;medium;high;frostTender;none;perennial;3;0;15;12;;;;3,4;;11,12,1,2;Riche et drainant.;Le rhizome dort en hiver (plus de feuilles).
138;Gingembre;indoor;partial;medium;high;frostTender;none;perennial;3;10;30;12;;;;2,3;;12,1;Riche.;Facile à faire pousser à partir d'une racine du commerce.
139;Passiflore;indoor;direct;medium;medium;semiHardy;low;perennial;3;10;15;24;;;;3,4;;11,12,1,2;Drainant.;Grimpe très vite, fleurs très complexes.
140;Dipladenia;outdoor;direct;easy;medium;frostTender;low;perennial;3;10;15;12;;;;3,4;3;11,12,1,2;Terreau géranium.;Très florifère tout l'été, stocke l'eau dans ses racines tubéreuses.
141;Laurier Sauce;vegetable;direct;easy;medium;hardy;none;perennial;7;15;60;24;;;;3,4;3, 9;11,12,1,2;Ordinaire.;Arbuste condimentaire, supporte très bien la taille.
142;Aralia Fabian;indoor;brightInd;medium;high;frostTender;low;perennial;5;10;30;24;;;;3,4;;11,12,1,2;Drainant.;Tronc épais et feuilles rondes pourpres/vertes.
143;Clématite;outdoor;partial;medium;medium;hardy;low;perennial;3;10;30;24;;;;3,4,10;2,3,6,9;11,12,1,2;Frais et riche.;La tête au soleil, le pied à l'ombre (protéger le pot).
144;Asplenium Parvati;indoor;partial;medium;high;frostTender;none;perennial;4;7;30;24;;;;3,4;;11,12,1,2;Terreau léger.;Feuillage finement découpé, plus coriace que les autres fougères.
145;Amaryllis;indoor;brightInd;easy;medium;frostTender;high;perennial;0;5;15;12;;;;10,11;;8,9;Terreau ordinaire.;Spectaculaire floraison d'hiver. Couper la hampe après floraison.
146;Mammillaria;indoor;direct;easy;low;semiHardy;none;perennial;15;0;60;36;;;;3,4;;11,12,1,2;Sableux et drainant.;Le cactus le plus courant, fait une couronne de petites fleurs roses.
147;Epiphyllum Anguliger;indoor;partial;easy;medium;frostTender;none;perennial;7;14;30;24;;;;3,4;;11,12,1,2;Terreau orchidée et pour cactus.;Cactus de jungle (épiphyte), aime plus l'eau que les cactus du désert.
148;Pinguicula;indoor;brightInd;medium;high;semiHardy;none;perennial;3;7;0;24;;;;3;;11,12,1,2;Mélange minéral et tourbe.;Carnivore : ses feuilles grasses piègent les moucherons.
149;Clusia Rosea;indoor;brightInd;easy;medium;frostTender;high;perennial;7;14;30;36;;;;3,4;;11,12,1,2;Drainant.;Feuilles épaisses quasi indestructibles. On peut 'écrire' dessus.
150;Euphorbia Trigona;indoor;brightInd;easy;low;frostTender;high;perennial;10;30;60;36;;;;3,4;;11,12,1,2;Terreau pour cactus.;Pas un vrai cactus. Perd ses petites feuilles en hiver.
151;Albuca Spiralis;indoor;direct;medium;low;frostTender;none;perennial;0;7;30;24;;;;9;;6,7,8;Terreau sableux.;Pousse en hiver ! Les feuilles frisent s'il y a beaucoup de soleil.
152;Zantedeschia;indoor;brightInd;medium;high;frostTender;high;perennial;3;10;15;12;;;;3,4;;11,12,1,2;Terreau riche et humide.;Élégante fleur en cornet. Très toxique pour les chats.
153;Aphelandra;indoor;brightInd;hard;high;frostTender;none;perennial;3;7;15;24;;;;3,4;;11,12,1,2;Terreau riche.;Feuilles rayées très graphiques et fleur jaune vif.
154;Cereus;indoor;direct;easy;low;semiHardy;none;perennial;15;45;60;36;;;;3,4;;11,12,1,2;Minéral.;Le cactus colonnaire classique des dessins animés.
